subject,body,category
Invoice not received,"I placed an order last week and was charged but never received an invoice or receipt. Can you resend the billing documents to my email?",billing
Overcharged on subscription,"My monthly subscription is $9.99 but I was charged $19.99 this month. Please investigate and issue a refund for the difference.",billing
Refund request,"I cancelled my plan within the 30-day trial period but was still charged the full annual fee. I need a complete refund.",billing
Payment method update,"I need to update my credit card on file. The current card expired and I can't find where to change it in account settings.",billing
Duplicate charge,"I see two identical charges of $49.99 on my bank statement from your company dated June 3rd. One of them must be a mistake.",billing
Billing cycle question,"When does my billing cycle reset? I want to make sure I upgrade my plan at the right time to avoid being double-charged.",billing
Discount code not applied,"I entered the promo code SAVE20 at checkout but my total didn't change. The discount was supposed to give me 20% off.",billing
Tax on invoice incorrect,"The tax amount on invoice #4821 looks wrong. I'm in Oregon where there's no sales tax but I was charged 8%.",billing
Cancel subscription billing,"I cancelled my subscription two months ago but I'm still being billed monthly. I need these charges reversed immediately.",billing
Enterprise pricing inquiry,"We're a team of 50 and interested in your enterprise plan. Can you send over pricing details and volume discount options?",billing
Free trial charge,"I signed up for a free trial and was told I wouldn't be charged. My card was billed $14.99 on the first day.",billing
Currency conversion issue,"I'm based in the UK and being charged in USD. The currency conversion fees are adding up — can I switch to GBP billing?",billing
Receipt for tax purposes,"I need all receipts from the past fiscal year for my company's tax filing. Can you export them as PDFs?",billing
Payment failed,"My last payment failed and my account is about to be suspended. I've updated my card — can you retry the charge?",billing
Downgrade plan billing,"I downgraded from Pro to Basic mid-cycle. Will I get a prorated refund for the unused days on the Pro plan?",billing
Wire transfer payment,"We prefer to pay by wire transfer instead of credit card. Do you support bank transfers for annual plans?",billing
Auto-renewal off,"Please turn off auto-renewal on my account. I don't want to be charged again when my current term ends.",billing
Charge from unknown source,"There's a charge on my statement from your company but I don't remember signing up. Can you verify if this is legitimate?",billing
Student discount,"I'm a university student. Do you offer any educational discounts? I can provide my .edu email for verification.",billing
Split billing request,"Our department needs to split the invoice between two cost centers. Is it possible to issue two separate invoices?",billing
Group plan billing,"We have 10 users on individual plans and want to consolidate into one group billing account. How do we migrate?",billing
